Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9493328438792749,0.8046234779703386,0.6829695120101728,0.9807540891045937,1.0,0.93,0.81,1.0,1.0,100
TMC100,0.8849011218201843,0.7875151515151515,0.6648888888888888,0.9569540107530107,0.99,0.94,0.806,1.0,0.995,100
ContextCite100,0.9264480467144399,0.7758002483517957,0.6468933192436552,0.9756860794437812,1.0,0.93,0.79,1.0,1.0,100
KernelShap64,0.9346129806235013,0.7676514528362177,0.6426440376264898,0.9758963467808934,0.99,0.9,0.794,1.0,0.995,100
ContextCite64,0.8972987560521594,0.736013358638591,0.6074389219073859,0.9635563896248285,0.99,0.8966666666666667,0.7660000000000001,1.0,0.995,100
TMC64,0.8528219863552746,0.7283636363636363,0.608,0.9356906710963848,0.98,0.9066666666666667,0.772,1.0,0.99,100
ContextCite32,0.825315632040847,0.6576791207360005,0.5227914018553629,0.9233301002941191,0.95,0.88,0.7440000000000001,1.0,0.975,100
KernelShap32,0.847480840008941,0.636570914684603,0.504297554180188,0.9368405795650965,0.97,0.8533333333333333,0.728,0.98,0.98,100
BetaShap (U)100,0.7147727304534697,0.6104242424242424,0.4964444444444444,0.8934230525950096,0.98,0.87,0.698,1.0,0.99,100
TMC32,0.784539737073782,0.592,0.4693333333333333,0.8943084280748953,0.95,0.8366666666666667,0.71,0.99,0.9725,100
BetaShap (U)64,0.7063628408294352,0.5750303030303029,0.46399999999999997,0.8770003062238391,0.97,0.8233333333333333,0.662,0.98,0.98,100
BetaShap (U)32,0.678223134867957,0.49430303030303024,0.3857777777777778,0.8474248088933284,0.96,0.76,0.6659999999999999,0.99,0.9775,100
LOO,0.664283479826959,0.401090909090909,0.31955555555555554,0.8267511943459415,0.92,0.7366666666666667,0.62,0.98,0.955,100
