Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_2,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
KernelShap100,0.9957563305431613,0.8836363636363636,0.7844444444444443,0.9953260815186171,1.0,0.95,0.8166666666666667,0.86,1.0,1.0,20
WSS100,0.9956899034719078,0.883030303030303,0.7799999999999999,0.9968028987536399,1.0,0.925,0.8833333333333334,0.8300000000000001,1.0,1.0,20
ContextCite100,0.9944951303582557,0.8539393939393939,0.7466666666666666,0.9918820830343023,1.0,0.875,0.8166666666666667,0.8400000000000001,1.0,1.0,20
WSS64,0.9919900554695136,0.8454545454545453,0.7355555555555554,0.990981843130222,1.0,0.85,0.8166666666666667,0.8200000000000001,1.0,1.0,20
TMC100,0.9884564877175516,0.8309090909090908,0.7,0.9862613867529598,0.95,0.8,0.8,0.8400000000000001,1.0,1.0,20
ContextCite64,0.9917501411483901,0.8164955494034276,0.6993157699840281,0.9930599128905179,1.0,0.9,0.85,0.8099999999999999,1.0,1.0,20
KernelShap64,0.9938384315133628,0.8072727272727273,0.6888888888888889,0.9939172743721452,1.0,0.95,0.8333333333333334,0.8099999999999999,1.0,1.0,20
ContextCite32,0.9734138414829465,0.789090909090909,0.6755555555555555,0.9844548250013176,0.95,0.9,0.8,0.82,1.0,1.0,20
TMC64,0.9738578094220107,0.7842424242424242,0.6644444444444444,0.98135363714496,0.95,0.825,0.7333333333333333,0.8099999999999999,1.0,1.0,20
KernelShap32,0.9799749153385221,0.7496969696969696,0.6244444444444444,0.9861773945174018,0.95,0.875,0.75,0.79,1.0,1.0,20
BetaShap (U)100,0.8815238698114246,0.7187878787878788,0.5933333333333333,0.9342350667273873,0.9,0.675,0.6666666666666666,0.77,1.0,1.0,20
TMC32,0.9630030277426632,0.6969696969696969,0.5844444444444444,0.9784078994570613,0.95,0.825,0.7333333333333333,0.73,1.0,1.0,20
BetaShap (U)64,0.8945616820199366,0.6284848484848484,0.49555555555555547,0.9430836796728226,0.95,0.7,0.65,0.7300000000000001,1.0,1.0,20
BetaShap (U)32,0.90411367545688,0.5787878787878787,0.45777777777777773,0.9572690538663938,0.95,0.725,0.65,0.66,1.0,1.0,20
LOO,0.9756139397839547,0.5030303030303029,0.39555555555555555,0.9645254503225458,0.95,0.825,0.7166666666666666,0.6599999999999999,1.0,1.0,20
WSS32,0.7523479721480897,0.48121212121212115,0.37555555555555553,0.9192421517377583,0.75,0.775,0.6666666666666666,0.65,1.0,0.975,20
